TWEET,POLARITY,SUBJECTIVITY
RT @JamesGunn: This is true. People keep assuming I’m a liberal because I think Trump is a real threat to our country. My politics are comp…,0.275, 0.47500000000000003
President Trump"s Norway immigration idea? There"s one problem #D14 https://t.co/iIfDJE6PDs,0.0, 0.0
RT @Hoosiers1986: Dear @JeffFlake

I'm glad that @POTUS calls out the #FakeNews for their daily lies &amp; misrepresentations. It's about damn…,0.25, 0.5
RT @MikeRBlackman: Trump: I did not have sexual relations with that woman... or her... or her... or that porn star.,0.5, 0.8333333333333334
RT @mcspocky: #MT @SaysHummingbird
CAN'T. RETWEET. THIS. ENOUGH. 🔥🔥

The word “shithole” is being projected onto Trump’s DC hotel.

#Shitho…,0.0, 0.5
RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0, 0.125
RT @BravenakBlog: When Trump opened his shithole
By that I mean his mouth
It gave me visions of slavery
And Jim Crow from down South

Some…,-0.23402777777777778, 0.4881944444444445
RT @evepeyser: liberals are shocked and outraged that trump said “shitholes” instead of their preferred term  “third world”,-0.5333333333333333, 0.6
RT @bilalnasir713: Similarities between Nawaz Sharif &amp; Donald Trump
Part 2 https://t.co/zg6X6jA34h,0.0, 0.0
RT @4everNeverTrump: Two things happened exactly one month before the election:
1) Trump paid Stormy Daniels $130 000 to stay quiet about a…,0.125, 0.29166666666666663
RT @rezaaslan: Trump knew within minutes no missile was hurtling toward Hawaii. He was golfing. They told him. He did not tweet out that in…,0.0, 0.0
RT @krassenstein: Ted Lieu: I support an immigration system like the one Trump's grandfather used to come to US,0.0, 0.0
RT @treyinla: Trump  Birtherism  death panels  faux scandals   conspiracy theories  gridlock  disrespect of Obama   homophobia  xenophobia …,0.0, 0.0
RT @kylegriffin1: Rep. Frederica Wilson says she won’t attend Trump's first State of the Union address  citing his "recent racist and incen…,0.125, 0.29166666666666663
RT @AlvinFon: https://t.co/7SFLY1dosQ @realDonaldTrump @POTUS #MAGA #FakeNews #trump,0.0, 0.0
RT @leedsgarcia: As a Mexican who’s been aware that Trump’s a racist since the 1st 90 secs of his campaign - it’d be REALLY great if we wer…,0.35000000000000003, 0.3333333333333333
RT @peteramescarlin: @TomCottonAR Shout out for lying about what Trump said in the Oval  even after Sens from both parties confirmed it and…,0.4, 1.0
RT @nycsouthpaw: Another John Solomon special hits the skids  and the editors and staff at The Hill don't seem to care that they're publish…,0.35714285714285715, 0.5714285714285714
RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0, 0.125
RT @FiveRights: President Clinton 
1. Trump's "epithet" was fake news. He never said it. Just another smear.
2. You &amp; Hillary stole money i…,-0.5, 1.0
South Africa protests to US embassy over Trump remarks THE NEWS - GROUP OF WORLD - https://t.co/70AE1AxewV https://t.co/oVXZ0rU7y4,0.0, 0.0
RT @FoxNews: .@CortesSteve: Instead of criticizing @realDonaldTrump on immigration issues  we should thank him for doing his job https://t.…,0.0, 0.0
RT @PalmerReport: Donald Trump’s day so far:

- Admits there are tapes
- Posts one to settle petty feud
- Rest of tapes will be subpoenaed…,0.1, 1.0
RT @BanditRandom: BREAKING: #Haiti held emergency high court session that resulted in an agreement to unseal and release information within…,0.16, 0.5399999999999999
RT @kurtbardella: 7.) When #Trump asked where are "your people" from &amp; she is then forced to answer that her parents are Korean - he is rob…,-0.30000000000000004, 0.2
RT @DonaldJTrumpJr: Economists agree: Trump  not Obama  gets credit for economy 

It doesn’t take a rocket scientist to realize Obama’s tax…,0.0, 0.0
RT @NoahShachtman: This Russian gun rights advocate keeps telling people she is part of the Moscow-Trump axis. https://t.co/ny58nJjwmy,0.0, 0.0
RT @JorgeGestoso: "Quiero recordarle a Trump que a esos países de mierda van sus amigos para enriquecerse" dijo la Embajadora de la Unión A…,0.0, 0.0
RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0, 0.125
@FiveRights I knew it was fake the first time I read the headline. Everything negative reported about Trump is fake… https://t.co/XHaav2x0Ci,-0.18333333333333335, 0.5777777777777778
RT @AlecMacGillis: Drug ODs are now the leading cause of death for Americans under age 50.

Meanwhile  the White House’s drug policy office…,0.0, 0.0
RT @ThisWeekABC: Responding to Pres. Trump’s reported “s---hole countries” comment  @repjohnlewis said he thinks the president “is a racist…,0.0, 0.0
RT @dbongino: Don’t you find it a little odd that the Trump team was subjected to a FISA warrant despite no evidence of “collusion” while t…,-0.17708333333333331, 0.375
US President  Donald Trump denies allegations that he is racist after he reportedly made derogatory comments about… https://t.co/IHY8OMd8ap,0.0, 0.0
RT @ericbolling: * 3 years ago and long before any Presidential declarations  @realDonaldTrump funded @RandPaul trip to Haiti to provide fr…,-0.05, 0.4
RT @StefanMolyneux: The country known for infant rape  the slaughter of white farmers and the destruction H&amp;M stores is very upset that Pre…,0.1, 0.15
