,TWEET,POLARITY,SUBJECTIVITY
130,RT @DC_ARVSgt: @Davewardell @mickbland27 You know me mate.  Live on the edge! Can't play for toffee!  Do you think it will change me?  Drin…,0.2130681818181818,0.5
131,RT @holdmybeerlol: Hold my beer while I go to work https://t.co/CFBu6FC9Ea,0.0,0.0
133,If you can serve in the military you should be able to legally have a…,0.20000000000000004,0.3083333333333333
134,RT @Chris_Hitchcock: Rahim Moore : official beer holder of Marcus Williams,0.0,0.0
136,Spend it with a #FreddyBurg…,0.0,0.1
137,RT @jillmwoodman: @rainnwilson If it weren't for people asking for it (demand and supply here)  I'd still be eating crappy dense bread  and…,0.0,0.0
138,RT @Dkait_smith: West Virginia said hold my beer https://t.co/nUWZg6CWSH,0.0,0.0
141,Dude: haha I called cooling down so you…,-0.1138888888888889,0.27222222222222225
142,I just earned the 'Night Out' badge on @untappd! https://t.co/zJfRwJgE4o,0.0,0.0
152,#ひと足先に美味し…,0.0,0.0
153,@dustinbennett76 @sportsmediaLM White snow said MLK hold my beer.  I will keep these people home two days this week!,0.0,0.0
154,RT @Marias_Bar: Tonight's beer chicken chili w/ roasted tomatoes &amp; single bean. Served by Pete from @middlebrowbeer 6 til we run out. bowl…,-0.3357142857142857,0.5821428571428571
155,@digital_deedee YOU HAVE GROWN UP TO BE SUCH A LOVELY YOUNG LADY - LOVE GRANDMA (commenting on a picture of you shotgunning a beer),0.275,0.5625
156,Estoy sufriendo: mucho  #OTGala11,0.0,0.0
157,@TrumpsDC *** This is AMERICA * We eat meat * We drink beer * We own guns * We love FREEDOM * If you don't like it… https://t.co/aj4ADzyPLu,0.55,0.8
158,RT @LifeWithSelG: 📹 | Madison Beer has commented under a fan’s video of Selena on Instagram! ❤️ #BadLiar #BestMusicVideo #iHeartAwards. htt…,0.0,0.0
168,#ひと足先に美味し…,0.0,0.0
169,RT @holdmybeerlol: Hold my beer while I sled down these stairs https://t.co/qvX2skgsXS,-0.1555555555555556,0.2888888888888889
172,Dude: haha I called cooling down so you…,-0.1138888888888889,0.27222222222222225
173,RT @HavokRose: I didn’t expect to CRY while watching Devilman Crybaby based on what I heard about it from friends and Twitter. What a wonde…,0.0,0.0
180,Lots of beer,0.13636363636363635,0.4545454545454545
183,Me: that was my beer,-1.0,1.0
187,Need a damn beer now,0.102020202020202,0.32525252525252524
189,me now: i rlly hope byob stands for bring ur own beer and… https://t.co/FQzaPuRsaC,0.6,1.0
190,@PiterRobinhood @cz_binance I remember my first beer. $sys $dgb https://t.co/A0fzvIqAfB,0.25,0.3333333333333333
195,Trade McCutche…,0.022222222222222213,0.2444444444444445
205,#ひと足先に美味し…,0.0,0.0
208,Dude: haha I called cooling down so you…,-0.1138888888888889,0.27222222222222225
218,#ひと足先に美味し…,0.0,0.0
228,#ひと足先に美味し…,0.0,0.0
229,RT @lumatheodoro: admaps:SYDNEY ROAD BEER GUIDE:  If you were wondering where to... https://t.co/D1FsEjPGbl https://t.co/BdZTA4ULnt,0.0,0.0
230,RT @Jeff_Sparrow: ‘Instead is drinking beer and surfing  come to church!’ Sounds like a winning campaign. https://t.co/fqGiwaEpf6,0.5,0.75
231,RT @LifeWithSelG: 📹 | Madison Beer has commented under a fan’s video of Selena on Instagram! ❤️ #BadLiar #BestMusicVideo #iHeartAwards. htt…,0.0,0.0
239,• you ju…,0.05,0.2
240,RT @RationalDis: Everyone: Man do you remember that ridiculous JonTron Tweet where he said that no one is oppressed in the U.S.? How embarr…,-0.3333333333333333,1.0
245,Trade McCutche…,0.022222222222222213,0.2444444444444445
246,RT @kelseyuhlich: this generation is offended by EVERYTHING like I miss when we could joke about dead babies and depression without people…,-0.2,0.4
247,@MerylORourke Antwerp is gorgeous! Hope you like it. Nice place called Bia Mara does great fish and chips (and good… https://t.co/kwq4xN8wpE,0.7583333333333334,0.8833333333333333
248,RT @LifeWithSelG: 📹 | Madison Beer has commented under a fan’s video of Selena on Instagram! ❤️ #BadLiar #BestMusicVideo #iHeartAwards. htt…,0.0,0.0
249,RT @wfaaweather: Yes..very smart move. You may need it later when you run out of your emergency supply of beer! https://t.co/51tdyt7HKp,0.10714285714285714,0.32142857142857145
250,Drinking an Eros by @AgrarianAles @ Lancaster Wheat Field — https://t.co/DGSWzRtfW0 #photo,0.0,0.0
251,@philster115 The infamous words for trouble....hold my beer!! Great tweet!! https://t.co/vTLuLKKNFV,0.109375,0.875
252,Post Steelers loss. Mccutchen gets traded while still coping with the Cole trade. The whole city of Pittsburgh is g… https://t.co/sUsibSIsbD,0.2,0.4
253,I just earned the 'Photogenic Brew  (Level 32)' badge on @untappd! https://t.co/nIGD8RO1RP,0.0,0.0
263,#ひと足先に美味し…,0.0,0.0
273,#ひと足先に美味し…,0.0,0.0
283,#ひと足先に美味し…,0.0,0.0
284,Its midnight ive had beer 😎😊hellooooooo!!!,0.0,0.0
285,RT @BarryStantonGB: had a call from school. headteacher tells me my son was caught drinking beer at lunch. i said whats the fucking problem…,-0.6,0.8
292,⭐:JÚLIA PEIXO…,0.0,0.0
293,@ThatEricAlper Being too nice  really good beer  people always saying sorry  and asking  questions with a simple EH?,0.2,0.7392857142857143
303,#ひと足先に美味し…,0.0,0.0
304,The key to not eating abunch of food is to fill up on beer instead,0.0,1.0
305,Colorado Brewery Concocts Collins-Inspired Beer https://t.co/qazbQpL0Dz #beer #craftbeer,0.0,0.0
306,RT @modex_tech: Want to meet the #Modex team? Come join us tomorrow at the @TokenBlast event in London. We'll be discussing 2018  and predi…,0.0,0.0
307,RT @femaIestweets: RT @holdmybeerlol: Hold my beer while I kick it off your head https://t.co/F7YamVzBpC https://t.co/okiq3qRuz7,0.0,0.0
308,Update: publix is a MADHOUSE- idk if it’s the typical bread &amp; milk thing  or if it’s all of the college students buying beer to celebrate,-0.16666666666666666,0.5
309,RT @LifeWithSelG: 📹 | Madison Beer has commented under a fan’s video of Selena on Instagram! ❤️ #BadLiar #BestMusicVideo #iHeartAwards. htt…,0.0,0.0
310,I just earned the 'What Gose Round (Level 3)' badge on @untappd! https://t.co/pvPWPGzBqX,-0.25,0.4
311,I just earned the 'Beer Connoisseur (Level 7)' badge on @untappd! https://t.co/brOJ9vEYTq,0.0,0.0
314,Dude: haha I called cooling down so you…,-0.1138888888888889,0.27222222222222225
315,I just earned the 'Riding Steady (Level 60)' badge on @untappd! https://t.co/zEf7Guerxl,0.2083333333333333,0.5
316,RT @WorldStarGhetto: Hold my beer while we play dizzy bat on the roof https://t.co/m50W3jHZ4u,0.0,0.0
317,Source: Pirates trade  Harrison for my 1998 college baseball stats  a warm beer and unsalted peanuts,0.5,0.8
318,Drinking an Union Jack IPA by @FirestoneWalker at @cornishpastyco — https://t.co/pbNnvvD96D,0.0,0.0
319,Chocolate and beer is one of the best Combinations ever,1.0,0.3
320,RT @WIDistributors: Gearing up for @isthmus Beer &amp; Cheese with Office invasion #2 at @LssMadison 🧀🍻 This Lucky staff gets to eat all the @M…,0.3333333333333333,0.8333333333333334
321,Was in the Beer &amp; Wine section after my shift today. I got called a “tecata” twice lmao,0.6,1.0
322,RT @PincheMeelo: #TheyKnewIWasUpToSomething when I told them to hold my beer 🍺 https://t.co/Gb2QXT8FKV,0.0,0.0
323,Beer  Bond fire  &amp; friends sound good rn,0.55,0.5
324,#Tryanuary2018 #Tryanuary @BelhavenBrews #mango #beer https://t.co/MsgXd5fwi1,0.0,0.0
327,Dude: haha I called cooling down so you…,-0.1138888888888889,0.27222222222222225
328,I just earned the 'Cheers To You! (Level 2)' badge on @untappd! https://t.co/8aT0HZQUEp,0.0,0.0
