,TWEET,POLARITY,SUBJECTIVITY
85,"President Trump""s Norway immigration idea? There""s one problem #D14 https://t.co/iIfDJE6PDs",0.0,0.0
87,I'm glad that @POTUS calls out the #FakeNews for their daily lies &amp; misrepresentations. It's about damn…,0.25,0.5
88,RT @MikeRBlackman: Trump: I did not have sexual relations with that woman... or her... or her... or that porn star.,0.5,0.8333333333333334
92,#Shitho…,0.0,0.5
93,RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0,0.125
98,Some…,-0.23402777777777775,0.4881944444444445
99,RT @evepeyser: liberals are shocked and outraged that trump said “shitholes” instead of their preferred term  “third world”,-0.5333333333333333,0.6
101,Part 2 https://t.co/zg6X6jA34h,0.0,0.0
103,1) Trump paid Stormy Daniels $130 000 to stay quiet about a…,0.125,0.29166666666666663
104,RT @rezaaslan: Trump knew within minutes no missile was hurtling toward Hawaii. He was golfing. They told him. He did not tweet out that in…,0.0,0.0
105,RT @krassenstein: Ted Lieu: I support an immigration system like the one Trump's grandfather used to come to US,0.0,0.0
106,RT @treyinla: Trump  Birtherism  death panels  faux scandals   conspiracy theories  gridlock  disrespect of Obama   homophobia  xenophobia …,0.0,0.0
107,"RT @kylegriffin1: Rep. Frederica Wilson says she won’t attend Trump's first State of the Union address  citing his ""recent racist and incen…",0.125,0.29166666666666663
108,RT @AlvinFon: https://t.co/7SFLY1dosQ @realDonaldTrump @POTUS #MAGA #FakeNews #trump,0.0,0.0
109,RT @leedsgarcia: As a Mexican who’s been aware that Trump’s a racist since the 1st 90 secs of his campaign - it’d be REALLY great if we wer…,0.35000000000000003,0.3333333333333333
110,RT @peteramescarlin: @TomCottonAR Shout out for lying about what Trump said in the Oval  even after Sens from both parties confirmed it and…,0.4,1.0
111,RT @nycsouthpaw: Another John Solomon special hits the skids  and the editors and staff at The Hill don't seem to care that they're publish…,0.35714285714285715,0.5714285714285714
112,RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0,0.125
115,2. You &amp; Hillary stole money i…,-0.5,1.0
116,South Africa protests to US embassy over Trump remarks THE NEWS - GROUP OF WORLD - https://t.co/70AE1AxewV https://t.co/oVXZ0rU7y4,0.0,0.0
117,RT @FoxNews: .@CortesSteve: Instead of criticizing @realDonaldTrump on immigration issues  we should thank him for doing his job https://t.…,0.0,0.0
121,- Rest of tapes will be subpoenaed…,0.1,1.0
122,RT @BanditRandom: BREAKING: #Haiti held emergency high court session that resulted in an agreement to unseal and release information within…,0.16,0.5399999999999999
123,"RT @kurtbardella: 7.) When #Trump asked where are ""your people"" from &amp; she is then forced to answer that her parents are Korean - he is rob…",-0.30000000000000004,0.2
125,It doesn’t take a rocket scientist to realize Obama’s tax…,0.0,0.0
126,RT @NoahShachtman: This Russian gun rights advocate keeps telling people she is part of the Moscow-Trump axis. https://t.co/ny58nJjwmy,0.0,0.0
127,"RT @JorgeGestoso: ""Quiero recordarle a Trump que a esos países de mierda van sus amigos para enriquecerse"" dijo la Embajadora de la Unión A…",0.0,0.0
128,RT @chrissyteigen: trump became president the same year people started eating tide pods,0.0,0.125
129,@FiveRights I knew it was fake the first time I read the headline. Everything negative reported about Trump is fake… https://t.co/XHaav2x0Ci,-0.18333333333333332,0.5777777777777778
131,Meanwhile  the White House’s drug policy office…,0.0,0.0
132,RT @ThisWeekABC: Responding to Pres. Trump’s reported “s---hole countries” comment  @repjohnlewis said he thinks the president “is a racist…,0.0,0.0
133,RT @dbongino: Don’t you find it a little odd that the Trump team was subjected to a FISA warrant despite no evidence of “collusion” while t…,-0.17708333333333331,0.375
134,US President  Donald Trump denies allegations that he is racist after he reportedly made derogatory comments about… https://t.co/IHY8OMd8ap,0.0,0.0
135,RT @ericbolling: * 3 years ago and long before any Presidential declarations  @realDonaldTrump funded @RandPaul trip to Haiti to provide fr…,-0.05,0.4
136,RT @StefanMolyneux: The country known for infant rape  the slaughter of white farmers and the destruction H&amp;M stores is very upset that Pre…,0.1,0.15
